mag,TOA_Flux,NGS,LGS_ON,LGS_OFF
Band,e-,R,R,R
0.01,,1.13,2.09,2.55
1,4259226009,1.13,2.09,2.55
2,1695628415,1.13,2.09,2.55
3,675041830.7,1.13,2.09,2.55
4,268738993.2,1.13,2.09,2.55
5,106986920.2,1.13,2.09,2.55
6,42592260.09,1.13,2.09,2.55
7,16956284.15,1.13,2.09,2.55
8,6750418.307,1.13,2.09,2.55
9,2687389.932,1.13,2.09,2.55
10,1069869.202,1.13,2.09,2.55
11,425922.6009,1.13,2.09,2.55
12,169562.8415,1.13,2.09,2.55
13,67504.18307,1.13,2.09,2.55
14,26873.89932,1.13,2.09,2.55
15,10698.69202,1.13,2.09,2.55
16,4259.226009,1.13,2.09,2.55
17,1695.628415,1.13,2.09,2.55
18,675.0418307,1.13,2.09,2.55
19,268.7389932,1.13,2.09,2.55
20,106.9869202,1.13,2.09,2.55
21,42.59226009,1.13,2.09,2.55
